Average Price
37.6832480424
Average Population
1959.88155046
    Time (months)         Fish      Demand       Price
0               1  1259.725229   -3.753876   40.000000
1               2  4441.761070    9.131422   39.938707
2               3  3050.623686   55.797833   40.779230
3               4  2616.369488   32.747777   38.729043
4               5  2214.699669    5.898754   39.180733
5               6  2075.845865   23.906034   39.105760
6               7  1976.159586   43.477666   39.360612
7               8  1975.450771   35.289560   39.698164
8               9  1886.196544   50.320274   33.519308
9              10  1916.351112   35.892270   39.680141
10             11  1864.151859   34.953392   36.651373
11             12  1811.960135   50.689487   37.288696
12             13  1846.119637   40.677073   38.593895
13             14  1820.865439   14.160243   37.818814
14             15  1795.579050   21.395037   37.110215
15             16  1826.816468  153.956302   38.789628
16             17  1860.364212   23.942686   37.215739
17             18  1831.680361    3.592949   37.365744
18             19  1844.141845  277.196547   39.804124
19             20  1842.740769   39.243441   21.094941
20             21  1839.328777    7.908725   34.444612
21             22  1868.080481   50.654210   39.808281
22             23  1886.669116   35.849518   23.101990
23             24  1886.786935   44.672177   38.520890
24             25  1906.595850   50.499803   38.986182
25             26  2104.901974   44.692737   39.820370
26             27  2041.055910   59.191547   10.511026
27             28  1958.805547   29.417310   11.105883
28             29  1922.031855   39.386454    8.228168
29             30  1904.232768   25.401698  118.410076
30             31  1859.222240   30.054064   39.582729
31             32  1858.079974   43.901946   37.799662
32             33  1911.242507   34.126139   38.275563
33             34  1861.008462   41.975507   38.496928
34             35  1890.632841   29.436284   38.076804
35             36  1864.833879   32.278188   37.330408
36             37  1827.391428   23.081751   38.944812
37             38  1772.687725   62.872654   37.372089
38             39  1802.741720    0.626180   39.865296
39             40  1806.006170  -16.472234   42.060747
40             41  1816.765612   35.545207   38.409289
41             42  1799.827570   68.784909   38.333118
42             43  1814.306720   42.844138   37.336909
43             44  1827.436698   27.340031   38.799447
44             45  1816.726245   34.089581   37.117378
45             46  1792.345058   27.414904   39.032523
46             47  1835.335522   60.572994   38.197958
47             48  1841.632044   20.644318   39.101903

Average Price
41.4259295939
Average Population
1705.04419333
    Time (months)         Fish      Demand      Price
0               1  1251.029716   -8.409096  40.000000
1               2  1340.129198   21.861747  39.160872
2               3  1426.854049   20.440722  38.309098
3               4  1453.602008   20.560282  39.841097
4               5  1539.759284    5.355481  78.705471
5               6  1608.327692  100.732700  39.499283
